Authors,Title,Year,Source,ArticleURL,Type,DOI,Cites,GSRank,QueryDate,Database,SearchTerms,RecordID,rel_flag
"S Chamizo, J Belnap, DJ Eldridge, Y Cantón…",The role of biocrusts in arid land hydrology,2016,Biological soil crusts: An …,https://link.springer.com/chapter/10.1007/978-3-319-30214-0_17,,10.1007/978-3-319-30214-0_17,121,1,2024-07-18 08:37:38,"google,google,google,google,google,google,google,google,google,google,google,google,google,google,google,google,google,google,google,google,google,google","biocrust--absorption,biocrust--absorption,biocrust--distribution,biocrust--light,biocrust--nitrogen,biocrust--photosynthesis,biocrust--photosystem,biocrust--scattering,biocrust--soil,biocrust--watercontent,biocrust--absorption,biocrust--absorption,biocrust--distribution,biocrust--light,biocrust--nitrogen,biocrust--photosynthesis,biocrust--photosystem,biocrust--scattering,biocrust--soil,biocrust--watercontent,syntrichia--absorption,syntrichia--absorption",130000,1
"L Wang, G Zhang, L Zhu, H Wang","Biocrust wetting induced change in soil surface roughness as influenced by biocrust type, coverage and wetting patterns",2017,Geoderma,https://www.sciencedirect.com/science/article/pii/S0016706116310448,,,45,2,2024-07-18 08:37:38,"google,google,google,google,google,google,google,google,google,google,google,scopus,google,google,google,google,google,google,google,google,google,google,google,scopus","biocrust--absorption,biocrust--absorption,biocrust--albedo,biocrust--bulkdensity,biocrust--distribution,biocrust--height,biocrust--light,biocrust--photosynthesis,biocrust--photosystem,biocrust--soil,biocrust--watercontent,biocrust--height,biocrust--absorption,biocrust--absorption,biocrust--albedo,biocrust--bulkdensity,biocrust--distribution,biocrust--height,biocrust--light,biocrust--photosynthesis,biocrust--photosystem,biocrust--soil,biocrust--watercontent,biocrust--height",130001,2
"E Rodríguez-Caballero, MÁ Aguilar, YC Castilla…",Swelling of biocrusts upon wetting induces changes in surface micro-topography,2015,Soil Biology and …,https://www.sciencedirect.com/science/article/pii/S0038071714004246,,,49,3,2024-07-18 08:37:38,"google,google,google,google,google,google,scopus,scopus,scopus,scopus,scopus,google,google,google,google,google,google,scopus,scopus,scopus,scopus,scopus","biocrust--absorption,biocrust--absorption,biocrust--carbon,biocrust--height,biocrust--nitrogen,biocrust--watercontent,biocrust--absorption,biocrust--carbon,biocrust--height,biocrust--nitrogen,biocrust--watercontent,biocrust--absorption,biocrust--absorption,biocrust--carbon,biocrust--height,biocrust--nitrogen,biocrust--watercontent,biocrust--absorption,biocrust--carbon,biocrust--height,biocrust--nitrogen,biocrust--watercontent",130002,3
"S Chamizo, Y Cantón, E Rodríguez‐Caballero…",Biocrusts positively affect the soil water balance in semiarid ecosystems,2016,…,https://onlinelibrary.wiley.com/doi/abs/10.1002/eco.1719,,10.1002/eco.1719,188,4,2024-07-18 08:37:38,"google,google,google,google,google,google,google,google,google,scopus,google,google,google,google,google,google,google,google,google,scopus","biocrust--absorption,biocrust--absorption,biocrust--chlorophyll,biocrust--distribution,biocrust--height,biocrust--light,biocrust--scattering,biocrust--soil,biocrust--watercontent,biocrust--soil,biocrust--absorption,biocrust--absorption,biocrust--chlorophyll,biocrust--distribution,biocrust--height,biocrust--light,biocrust--scattering,biocrust--soil,biocrust--watercontent,biocrust--soil",130003,4
"B Weber, J Hill",Remote sensing of biological soil crusts at different scales,2016,Biological soil crusts: an organizing principle in …,https://link.springer.com/chapter/10.1007/978-3-319-30214-0_12,,10.1007/978-3-319-30214-0_12,36,5,2024-07-18 08:37:38,"google,google,google,google,google,google,google,google,google,google,google,google,google,google,google,google,google,google,google,google,google,google","biocrust--absorption,biocrust--absorption,biocrust--albedo,biocrust--chlorophyll,biocrust--leafarea,biocrust--light,biocrust--phenology,biocrust--photosynthesis,biocrust--reflectance,biocrust--scattering,biocrust--absorption,biocrust--absorption,biocrust--albedo,biocrust--chlorophyll,biocrust--leafarea,biocrust--light,biocrust--phenology,biocrust--photosynthesis,biocrust--reflectance,biocrust--scattering,liverwort--albedo,liverwort--albedo",130004,5
"F Sun, B Xiao, GJ Kidron",Towards the influences of three types of biocrusts on soil water in drylands: Insights from horizontal infiltration and soil water retention,2022,Geoderma,https://www.sciencedirect.com/science/article/pii/S0016706122004438,HTML,,16,6,2024-07-18 08:37:38,"google,google,google,google,google,google,google,google,google,google,google,google,google,google,google,scopus,google,google,google,google,google,google,google,google,google,google,google,google,google,google,google,scopus","biocrust--absorption,biocrust--absorption,biocrust--albedo,biocrust--bulkdensity,biocrust--carbon,biocrust--chlorophyll,biocrust--distribution,biocrust--height,biocrust--light,biocrust--nitrogen,biocrust--phosphorus,biocrust--rhizoid,biocrust--scattering,biocrust--soil,biocrust--watercontent,biocrust--watercontent,biocrust--absorption,biocrust--absorption,biocrust--albedo,biocrust--bulkdensity,biocrust--carbon,biocrust--chlorophyll,biocrust--distribution,biocrust--height,biocrust--light,biocrust--nitrogen,biocrust--phosphorus,biocrust--rhizoid,biocrust--scattering,biocrust--soil,biocrust--watercontent,biocrust--watercontent",130005,6
"F Sun, B Xiao, GJ Kidron…","Biocrusts critical regulation of soil water vapor transport (diffusion, sorption, and late‐stage evaporation) in drylands",2024,Water Resources …,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2023WR036520,,10.1029/2023WR036520,0,7,2024-07-18 08:37:38,"google,google,google,google,google,google,google,google,google,google,google,google,google,google,google,google,google,google,google,google,google,google","biocrust--absorption,biocrust--absorption,biocrust--albedo,biocrust--bulkdensity,biocrust--distribution,biocrust--height,biocrust--light,biocrust--rhizoid,biocrust--scattering,biocrust--watercontent,biocrust--waterpotential,biocrust--absorption,biocrust--absorption,biocrust--albedo,biocrust--bulkdensity,biocrust--distribution,biocrust--height,biocrust--light,biocrust--rhizoid,biocrust--scattering,biocrust--watercontent,biocrust--waterpotential",130006,1
"AM Faist, JE Herrick, J Belnap, JW Van Zee…",Biological soil crust and disturbance controls on surface hydrology in a semi‐arid ecosystem,2017,…,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/ecs2.1691,,10.1002/ecs2.1691,120,8,2024-07-18 08:37:38,"google,google,google,google,google,google,google,google,google,scopus,scopus,google,google,google,google,google,google,google,google,google,scopus,scopus","biocrust--absorption,biocrust--absorption,biocrust--bulkdensity,biocrust--chlorophyll,biocrust--distribution,biocrust--height,biocrust--light,biocrust--photosynthesis,biocrust--soil,biocrust--light,biocrust--soil,biocrust--absorption,biocrust--absorption,biocrust--bulkdensity,biocrust--chlorophyll,biocrust--distribution,biocrust--height,biocrust--light,biocrust--photosynthesis,biocrust--soil,biocrust--light,biocrust--soil",130007,1
"E Rodríguez-Caballero, P Escribano…",Transferability of multi-and hyperspectral optical biocrust indices,2017,ISPRS Journal of …,https://www.sciencedirect.com/science/article/pii/S0924271616302945,,,42,9,2024-07-18 08:37:38,"google,google,google,google,google,scopus,scopus,scopus,scopus,scopus,google,google,google,google,google,scopus,scopus,scopus,scopus,scopus,scopus,scopus,scopus","biocrust--absorption,biocrust--absorption,biocrust--chlorophyll,biocrust--height,biocrust--reflectance,biocrust--absorption,biocrust--carbon,biocrust--chlorophyll,biocrust--distribution,biocrust--nitrogen,biocrust--absorption,biocrust--absorption,biocrust--chlorophyll,biocrust--height,biocrust--reflectance,biocrust--absorption,biocrust--carbon,biocrust--chlorophyll,biocrust--distribution,biocrust--nitrogen,bryophyte*--absorption,bryophyte*--absorption,bryophyte*--chlorophyll",130008,1
"B Xiao, MA Bowker","Moss-biocrusts strongly decrease soil surface albedo, altering land-surface energy balance in a dryland ecosystem",2020,Science of the Total Environment,https://www.sciencedirect.com/science/article/pii/S0048969720339474,,,68,10,2024-07-18 08:37:38,"google,google,google,google,google,google,google,google,google,google,google,scopus,scopus,scopus,google,google,google,google,google,google,google,google,google,google,google,scopus,scopus,scopus,google,google,google,google,google,scopus,scopus","biocrust--absorption,biocrust--absorption,biocrust--albedo,biocrust--bulkdensity,biocrust--height,biocrust--light,biocrust--phenology,biocrust--photosynthesis,biocrust--reflectance,biocrust--soil,biocrust--watercontent,biocrust--absorption,biocrust--albedo,biocrust--relectance,biocrust--absorption,biocrust--absorption,biocrust--albedo,biocrust--bulkdensity,biocrust--height,biocrust--light,biocrust--phenology,biocrust--photosynthesis,biocrust--reflectance,biocrust--soil,biocrust--watercontent,biocrust--absorption,biocrust--albedo,biocrust--relectance,moss*--absorption,moss*--absorption,moss*--albedo,moss*--reflectance,moss*--soil,moss*--albedo,moss*--reflectance",130009,1
